Product,TotalSales,SalesRank,TotalQuantity,SalesContributionPercent
JUMBO BAG WOODLAND ANIMALS,37499.37,69,17710,0.18
ALARM CLOCK BAKELIKE RED,36543.77,70,9234,0.18
ROUND SNACK BOXES SET OF 4 FRUITS,35922.51,71,12875,0.18
DOORMAT RED RETROSPOT,35198.96,72,5038,0.17
LOVE BUILDING BLOCK WORD,34836.02,73,5643,0.17
RECYCLING BAG RETROSPOT,34640.84,74,15765,0.17
POPCORN HOLDER,34288.67,75,36749,0.17
DOORMAT FAIRY CAKE,34191.53,76,5095,0.17
RECIPE BOX PANTRY YELLOW DESIGN,33682.62,77,10706,0.16
DOORMAT FANCY FONT HOME SWEET HOME,33466.26,78,5075,0.16
DOLLY GIRL LUNCH BOX,33380.83,79,18058,0.16
DOORMAT NEW ENGLAND,33203.79,80,5291,0.16
LUNCH BAG SPACEBOY DESIGN,33049.37,81,19604,0.16
ASSORTED COLOURS SILK FAN,32967.03,82,44272,0.16
ALARM CLOCK BAKELIKE GREEN,32609.32,83,7671,0.16
JUMBO BAG SPACEBOY DESIGN,32433.5,84,17057,0.16
WOOD S/3 CABINET ANT WHITE FINISH,31594.39,85,3994,0.15
RETROSPOT TEA SET CERAMIC 11 PC,31527.12,86,6168,0.15
6 RIBBONS RUSTIC CHARM,31513.11,87,17238,0.15
HAND OVER THE CHOCOLATE   SIGN,31483.7,88,16373,0.15
HAND WARMER OWL DESIGN,31416.04,89,14537,0.15
SET OF 3 REGENCY CAKE TINS,31118.55,90,6345,0.15
WHITE SKULL HOT WATER BOTTLE,31079.8,91,6219,0.15
JUMBO BAG APPLES,30450.69,92,14908,0.15
PICNIC BASKET WICKER LARGE,30339.36,93,2612,0.15
LUNCH BAG RED SPOTTY,30063.27,94,18085,0.15
EDWARDIAN PARASOL RED,30020.97,95,6149,0.15
GREEN REGENCY TEACUP AND SAUCER,29952.55,96,9621,0.15
ANTIQUE SILVER TEA GLASS ETCHED,29828.78,97,22032,0.15
LUNCH BOX I LOVE LONDON,29561.86,98,15941,0.14
KNITTED UNION FLAG HOT WATER BOTTLE,29533.87,99,6830,0.14
PINK HAPPY BIRTHDAY BUNTING,29504.36,100,5751,0.14
SET/5 RED SPOTTY LID GLASS BOWLS,29468.52,101,10706,0.14
BOX OF VINTAGE ALPHABET BLOCKS,29450.11,102,2945,0.14
3 HEARTS HANGING DECORATION RUSTIC,29198.28,103,8985,0.14
WOOD 2 DRAWER CABINET WHITE FINISH,29003.37,104,4878,0.14
JUMBO BAG SCANDINAVIAN PAISLEY,28962.83,105,15857,0.14
HOT WATER BOTTLE KEEP CALM,28718.8,106,5816,0.14
PINK BLUE FELT CRAFT TRINKET BOX,28580.97,107,22260,0.14
HANGING HEART JAR T-LIGHT HOLDER,28475.96,108,21689,0.14
HAND WARMER SCOTTY DOG DESIGN,28266.87,109,12778,0.14
SET 7 BABUSHKA NESTING BOXES,28139.45,110,3459,0.14
BLACK HEART CARD HOLDER,28112.03,111,10353,0.14
PACK OF 60 PINK PAISLEY CAKE CASES,28081.73,112,56061,0.14
GUMBALL COAT RACK,28059.48,113,11868,0.14
HOT BATHS METAL SIGN,27981.99,114,12877,0.14
JUMBO BAG ALPHABET,27850.83,115,13366,0.14
PACK OF 72 RETROSPOT CAKE CASES,27770.72,116,48156,0.14
WOODLAND CHARLOTTE BAG,27598.42,117,24479,0.13
TEA TIME PARTY BUNTING,27564.75,118,6013,0.13
JUMBO STORAGE BAG SKULLS,27368.08,119,13390,0.13
IVORY KITCHEN SCALES,27282.73,120,3152,0.13
GRAND CHOCOLATECANDLE,27239.46,121,19712,0.13
HOT WATER BOTTLE I AM SO POORLY,27082.84,122,5302,0.13
MINI PAINT SET VINTAGE,27056.19,123,42286,0.13
60 TEATIME FAIRY CAKE CASES,27041.21,124,54028,0.13
JAM MAKING SET PRINTED,26888.43,125,17252,0.13
SET OF 6 RIBBONS VINTAGE CHRISTMAS,26763.75,126,9772,0.13
JUMBO BAG PINK WITH WHITE SPOTS,26242.66,127,14202,0.13
FELTCRAFT 6 FLOWER FRIENDS,26218.97,128,12674,0.13
HAND WARMER BIRD DESIGN,26117.63,129,11872,0.13
PLASTERS IN TIN SPACEBOY,25912.87,130,15441,0.13
JUMBO BAG TOYS,25719.13,131,12643,0.13
FAWN BLUE HOT WATER BOTTLE,25613.45,132,8174,0.13
MEMO BOARD RETROSPOT  DESIGN,25603.46,133,5455,0.13
PAPER BUNTING RETROSPOT,25497.96,134,8406,0.12
TEA TIME CAKE STAND IN GIFT BOX,25428.33,135,2465,0.12
RETROSPOT HEART HOT WATER BOTTLE,25408.01,136,5168,0.12
FAIRY CAKE FLANNEL ASSORTED COLOUR,25407.27,137,12962,0.12
PAPER BUNTING WHITE LACE,25389.1,138,8475,0.12
COLOUR GLASS T-LIGHT HOLDER HANGING,25205.13,139,40439,0.12
PAPER CHAIN KIT EMPIRE,25163.56,140,8803,0.12
JUMBO BAG RED WHITE SPOTTY,25043.62,141,14060,0.12
RED RETROSPOT CHARLOTTE BAG,24958.77,142,20663,0.12
PAPER BUNTING RETRO SPOTS,24933.94,143,8292,0.12
REGENCY TEAPOT ROSES,24879.13,144,2766,0.12
PINK CREAM FELT CRAFT TRINKET BOX,24785.31,145,20496,0.12
DOOR MAT UNION FLAG,24770.81,146,3775,0.12
SMALL GLASS HEART TRINKET POT,24641.39,147,11426,0.12
JUMBO BAG VINTAGE DOILY,24489.08,148,11448,0.12
SET OF 6 SPICE TINS PANTRY DESIGN,24459.96,149,5972,0.12
WORLD WAR 2 GLIDERS ASSTD DESIGNS,24445.61,150,106139,0.12
HANGING JAM JAR T-LIGHT HOLDER,24440.74,151,30176,0.12
ZINC METAL HEART DECORATION,24289.33,152,19847,0.12
ALARM CLOCK BAKELIKE PINK,24257.31,153,6215,0.12
BLUE HAPPY BIRTHDAY BUNTING,24185.03,154,4753,0.12
SWEETHEART CERAMIC TRINKET BOX,24128.86,155,19428,0.12
PACK OF 72 RETRO SPOT CAKE CASES,24054.43,156,46728,0.12
PINK REGENCY TEACUP AND SAUCER,23990.62,157,8049,0.12
LUNCH BAG SUKI  DESIGN,23893.29,158,14347,0.12
JUMBO BAG 50'S CHRISTMAS,23772.07,159,10285,0.12
3 HOOK PHOTO SHELF ANTIQUE WHITE,23709.46,160,3141,0.12
VINTAGE SNAP CARDS,23506.17,161,27244,0.11
SET OF TEA COFFEE SUGAR TINS PANTRY,23489.42,162,4800,0.11
WOODEN CROQUET GARDEN SET,23426.82,163,1827,0.11
NO SINGING METAL SIGN,23096.77,164,11450,0.11
CREAM CUPID HEARTS COAT HANGER,23093.95,165,7133,0.11
SET/5 RED RETROSPOT LID GLASS BOWLS,23040.04,166,7964,0.11
RED KITCHEN SCALES,22911.55,167,2627,0.11
WOODEN ROUNDERS GARDEN SET,22906.54,168,2533,0.11
VINTAGE HEADS AND TAILS CARD GAME,22858.6,169,17604,0.11
PLASTERS IN TIN WOODLAND ANIMALS,22853.72,170,13588,0.11
HANGING HEART ZINC T-LIGHT HOLDER,22578.3,171,26817,0.11
PLASTERS IN TIN CIRCUS PARADE,22334.08,172,13585,0.11
CERAMIC CAKE STAND + HANGING CAKES,22333.3,173,2382,0.11
ASSORTED COLOUR MINI CASES,22097.61,174,3062,0.11
GREY HEART HOT WATER BOTTLE,22025.93,175,5759,0.11
PACK OF 6 BIRDY GIFT TAGS,21977.3,176,17557,0.11
WOODEN UNION JACK BUNTING,21826.52,177,3584,0.11
JUMBO BAG VINTAGE LEAF,21810.43,178,10941,0.11
CHRISTMAS LIGHTS 10 REINDEER,21727.58,179,2615,0.11
NATURAL SLATE CHALKBOARD LARGE,21583.2,180,4416,0.11
HOMEMADE JAM SCENTED CANDLES,21501.99,181,14461,0.11
DOORMAT SPOTTY HOME SWEET HOME,21414.04,182,2817,0.1
PACK OF 72 SKULL CAKE CASES,21390.76,183,40263,0.1
VICTORIAN SEWING BOX LARGE,21386.56,184,1505,0.1
DOORMAT ENGLISH ROSE,21326.3,185,3234,0.1
RETRO SPOT TEA SET CERAMIC 11 PC,21301.04,186,4438,0.1
PICNIC BASKET WICKER SMALL,21260.8,187,3705,0.1
15CM CHRISTMAS GLASS BALL 20 LIGHTS,21201.13,188,2685,0.1
PAPER CHAIN KIT RETRO SPOT,21151.79,189,7579,0.1
FELTCRAFT CUSHION RABBIT,20901.1,190,5631,0.1
ENAMEL BREAD BIN CREAM,20886.89,191,1529,0.1
LUNCH BAG APPLE DESIGN,20852.58,192,12147,0.1
RED SPOTTY BISCUIT TIN,20800.31,193,5256,0.1
HEART FILIGREE DOVE  SMALL,20629.38,194,16671,0.1
BAKING SET SPACEBOY DESIGN,20546.99,195,4251,0.1
GROW A FLYTRAP OR SUNFLOWER IN TIN,20469.08,196,17875,0.1
AMAZON FEE,20467.8,197,3,0.1
STRAWBERRY CHARLOTTE BAG,20401.05,198,18296,0.1
FELTCRAFT CUSHION OWL,20244.97,199,5479,0.1
LADIES & GENTLEMEN METAL SIGN,20237.72,200,8361,0.1
DOORMAT WELCOME PUPPIES,20209.4,201,3414,0.1
FELTCRAFT DOLL MOLLY,20150.99,202,7355,0.1
FELTCRAFT CUSHION BUTTERFLY,20104.43,203,5521,0.1
VINTAGE UNION JACK CUSHION COVER,19936.94,204,3699,0.1
SET 2 TEA TOWELS I LOVE LONDON,19834.04,205,6156,0.1
METAL SIGN TAKE IT OR LEAVE IT,19728.24,206,6976,0.1
POTTERING IN THE SHED METAL SIGN,19593.81,207,9696,0.1
RED RETROSPOT PICNIC BAG,19576.72,208,6680,0.1
WOODEN SCHOOL COLOURING SET,19524.27,209,11642,0.1
CLOTHES PEGS RETROSPOT PACK 24,19513.17,210,13809,0.1
FAMILY ALBUM WHITE PICTURE FRAME,19507.6,211,2275,0.1
LUNCH BAG PINK POLKADOT,19500.66,212,11751,0.1
ANTIQUE SILVER T-LIGHT GLASS,19381.62,213,14664,0.09
ENAMEL FLOWER JUG CREAM,19273.28,214,3210,0.09
PAPER CHAIN KIT RETROSPOT,19261.03,215,6137,0.09
CLASSIC METAL BIRDCAGE PLANT HOLDER,19194.13,216,1758,0.09
CHOCOLATE THIS WAY METAL SIGN,19125.98,217,9678,0.09
LARGE CAKE STAND  HANGING STRAWBERY,19121.37,218,2171,0.09
SILVER HANGING T-LIGHT HOLDER,19015.8,219,11945,0.09
ANTIQUE SILVER TEA GLASS ENGRAVED,18744.17,220,15810,0.09
LUNCH BAG SUKI DESIGN,18699.43,221,10301,0.09
"RECORD FRAME 7"" SINGLE SIZE",18650.87,222,7540,0.09
WHITE METAL LANTERN,18525.22,223,4700,0.09
PLASTERS IN TIN STRONGMAN,18323.32,224,11321,0.09
CHICK GREY HOT WATER BOTTLE,18171.14,225,4584,0.09
WHITE CHERRY LIGHTS,18048.72,226,3004,0.09
SET/3 RED GINGHAM ROSE STORAGE BOX,18044.97,227,4621,0.09
MEMO BOARD COTTAGE DESIGN,18034.63,228,3773,0.09
FELTCRAFT BUTTERFLY HEARTS,17893.58,229,12828,0.09
TRADITIONAL MODELLING CLAY,17861.71,230,14836,0.09
MULTI COLOUR SILVER T-LIGHT HOLDER,17746.71,231,21605,0.09
BLUE HARMONICA IN BOX,17725.36,232,12957,0.09
HEART IVORY TRELLIS SMALL,17702.62,233,13715,0.09
BREAD BIN DINER STYLE IVORY,17669.99,234,1112,0.09
SINGLE HEART ZINC T-LIGHT HOLDER,17664.18,235,17633,0.09
HAND WARMER UNION JACK,17576.67,236,8541,0.09
ENGLISH ROSE DESIGN QUILTED THROW,17477.66,237,816,0.09
PAINTED METAL PEARS ASSORTED,17451.45,238,10496,0.09
PLASTERS IN TIN VINTAGE PAISLEY,17401.3,239,10369,0.08
JUMBO BAG DOILEY PATTERNS,17268.69,240,8893,0.08
72 SWEETHEART FAIRY CAKE CASES,17259.85,241,34797,0.08
JUMBO BAG SCANDINAVIAN BLUE PAISLEY,17239.69,242,8411,0.08
WOODEN BOX OF DOMINOES,17095.66,243,12805,0.08
RED RETROSPOT TRADITIONAL TEAPOT,17030.56,244,2337,0.08
DELUXE SEWING KIT,16971.27,245,2534,0.08
DOORMAT BLACK FLOCK,16937.68,246,2898,0.08
STRAWBERRY LUNCH BOX WITH CUTLERY,16891.44,247,6779,0.08
CHILDRENS CUTLERY POLKADOT PINK,16865.97,248,3951,0.08
TRAVEL SEWING KIT,16794.05,249,9910,0.08
60 CAKE CASES VINTAGE CHRISTMAS,16770.31,250,27970,0.08
HOME SWEET HOME METAL SIGN,16626.41,251,5981,0.08
SET OF 4 PANTRY JELLY MOULDS,16478.48,252,12649,0.08
VINTAGE CREAM 3 BASKET CAKE STAND,16409.02,253,1699,0.08
WHITE WOOD GARDEN PLANT LADDER,16373.7,254,1632,0.08
RETRO SPOT CAKE STAND,16354.01,255,1493,0.08
GARDENERS KNEELING PAD KEEP CALM,16327.35,256,8807,0.08
SET OF 3 COLOURED  FLYING DUCKS,16218.1,257,3062,0.08
LUNCH BAG DOLLY GIRL DESIGN,16213.61,258,9951,0.08
HEART IVORY TRELLIS LARGE,16027.56,259,9719,0.08
DOORMAT WELCOME TO OUR HOME,15965.95,260,2135,0.08
HOME SWEET HOME MUG,15954.75,261,14054,0.08
CHILDS BREAKFAST SET SPACEBOY,15946.55,262,1688,0.08
DOOR MAT RED SPOT,15889.75,263,2485,0.08
SET OF 3 NOTEBOOKS IN PARCEL,15866.56,264,9380,0.08
HOT WATER BOTTLE BABUSHKA,15837.18,265,3398,0.08
DOORMAT HOME SWEET HOME BLUE,15836.35,266,2530,0.08
VINTAGE CHRISTMAS BUNTING,15798.66,267,2990,0.08
CHILDS BREAKFAST SET DOLLY GIRL,15795.01,268,1660,0.08
RED RETROSPOT UMBRELLA,15791.12,269,2732,0.08
PINK 3 PIECE MINI DOTS CUTLERY SET,15767.15,270,4354,0.08
SET OF 20 KIDS COOKIE CUTTERS,15753.18,271,7575,0.08
RED 3 PIECE MINI DOTS CUTLERY SET,15738.53,272,4254,0.08
HAND WARMER RED RETROSPOT,15664.13,273,7698,0.08
RED DINER WALL CLOCK,15658.98,274,1850,0.08
PICTURE FRAME WOOD TRIPLE PORTRAIT,15645.27,275,2385,0.08
SET OF 6 SOLDIER SKITTLES,15560.09,276,3992,0.08
TRADITIONAL WOODEN SKIPPING ROPE,15547.75,277,12142,0.08
RED/WHITE DOTS RUFFLED UMBRELLA,15476.88,278,3462,0.08
DOORMAT 3 SMILEY CATS,15437.73,279,2419,0.08
METAL 4 HOOK HANGER FRENCH CHATEAU,15411.9,280,5026,0.08
SET OF 3 HEART COOKIE CUTTERS,15388.44,281,11637,0.08
FELTCRAFT PRINCESS CHARLOTTE DOLL,15354.35,282,3759,0.07
SET/6 RED SPOTTY PAPER PLATES,15334.03,283,19633,0.07
FELTCRAFT CHRISTMAS FAIRY,15282.81,284,3491,0.07
SET OF 20 VINTAGE CHRISTMAS NAPKINS,15275.82,285,17144,0.07
PACK OF 60 DINOSAUR CAKE CASES,15236.62,286,31332,0.07
BEWARE OF THE CAT METAL SIGN,15167.38,287,9360,0.07
RED RETROSPOT ROUND CAKE TINS,15123.2,288,1420,0.07
RED RETROSPOT MINI CASES,15118.47,289,2066,0.07
AREA PATROLLED METAL SIGN,15110.98,290,7479,0.07
ZINC FOLKART SLEIGH BELLS,15072.58,291,8375,0.07
WOODEN ADVENT CALENDAR CREAM,15060.57,292,976,0.07
WOODEN SKITTLES GARDEN SET,14881.94,293,1069,0.07
ALARM CLOCK BAKELIKE IVORY,14867.27,294,3702,0.07
OPEN CLOSED METAL SIGN,14807.3,295,2991,0.07
BROCADE RING PURSE,14766.42,296,70369,0.07
SET OF 2 WOODEN MARKET CRATES,14677.84,297,1101,0.07
VINTAGE SNAKES & LADDERS,14651.33,298,3734,0.07
RED SPOTTY ROUND CAKE TINS,14646.04,299,1484,0.07
WOODEN HAPPY BIRTHDAY GARLAND,14593.32,300,5031,0.07
PINK HEART SHAPE EGG FRYING PAN,14525.0,301,9853,0.07
3 STRIPEY MICE FELTCRAFT,14486.55,302,7815,0.07
BLUE 3 PIECE MINI DOTS CUTLERY SET,14464.38,303,3973,0.07
WHITE SPOT RED CERAMIC DRAWER KNOB,14411.13,304,11120,0.07
LUNCH BAG PINK RETROSPOT,14391.72,305,8914,0.07
LUNCH BOX WITH CUTLERY RETROSPOT,14348.82,306,5678,0.07
KENSINGTON COFFEE SET,14266.98,307,1600,0.07
YOU'RE CONFUSING ME METAL SIGN,14262.61,308,8856,0.07
DOORMAT UNION JACK GUNS AND ROSES,14236.9,309,2349,0.07
JUMBO BAG PEARS,14188.96,310,7067,0.07
SET OF 3 BUTTERFLY COOKIE CUTTERS,14076.34,311,10405,0.07
MINT KITCHEN SCALES,14016.8,312,1600,0.07
WOODEN BOX ADVENT CALENDAR,13999.1,313,1435,0.07
JUMBO BAG VINTAGE CHRISTMAS,13972.71,314,6078,0.07
VICTORIAN SEWING BOX MEDIUM,13968.48,315,1549,0.07
CAKE STAND 3 TIER MAGIC GARDEN,13965.52,316,1127,0.07
FELTCRAFT DOLL ROSIE,13921.73,317,4866,0.07
RED STRIPE CERAMIC DRAWER KNOB,13912.17,318,10357,0.07
DOORMAT AIRMAIL,13875.59,319,2085,0.07
HEART FILIGREE DOVE LARGE,13873.54,320,8411,0.07
BINGO SET,13862.17,321,3520,0.07
GROW YOUR OWN PLANT IN A CAN,13856.6,322,10132,0.07
VICTORIAN SEWING BOX SMALL,13843.92,323,2293,0.07
BLUE STRIPE CERAMIC DRAWER KNOB,13839.18,324,10578,0.07
PINK CHERRY LIGHTS,13787.93,325,2281,0.07
TRADITIONAL KNITTING NANCY,13784.32,326,8726,0.07
SWEETHEART CAKESTAND 3 TIER,13753.38,327,1378,0.07
FULL ENGLISH BREAKFAST PLATE,13750.11,328,3338,0.07
TEA TIME TEA TOWELS,13714.66,329,5205,0.07
DOUGHNUT LIP GLOSS,13695.77,330,10395,0.07
IVORY DINER WALL CLOCK,13689.85,331,1659,0.07
SAVE THE PLANET MUG,13654.89,332,11492,0.07
DOORMAT MULTICOLOUR STRIPE,13634.35,333,2350,0.07
FILIGRIS HEART WITH BUTTERFLY,13552.97,334,10937,0.07
CHILDS BREAKFAST SET CIRCUS PARADE,13437.03,335,1618,0.07
CARRIAGE,13426.0,336,268,0.07
LOVE HOT WATER BOTTLE,13334.32,337,2359,0.07
LUNCH BAG ALPHABET DESIGN,13325.55,338,7830,0.07
FRYING PAN UNION FLAG,13298.57,339,3103,0.06
SET OF 10 LED DOLLY LIGHTS,13290.52,340,2219,0.06
WHITE SPOT BLUE CERAMIC DRAWER KNOB,13272.39,341,10050,0.06
SET 6 SCHOOL MILK BOTTLES IN CRATE,13269.49,342,2841,0.06
CHRISTMAS TOILET ROLL,13263.93,343,8537,0.06
BAG 250g SWIRLY MARBLES,13235.16,344,17175,0.06
SET/20 RED RETROSPOT PAPER NAPKINS,13231.54,345,15388,0.06
BREAD BIN DINER STYLE RED,13213.97,346,822,0.06
PINK PAPER PARASOL,13210.85,347,4964,0.06
DOOR MAT NEW ENGLAND,13201.61,348,2023,0.06
CHARLOTTE BAG PINK POLKADOT,13172.0,349,11219,0.06
LARGE CIRCULAR MIRROR MOBILE,13153.8,350,13968,0.06
ADVENT CALENDAR GINGHAM SACK,13141.08,351,2322,0.06
SUKI  SHOULDER BAG,13103.21,352,7127,0.06
PAPER BUNTING COLOURED LACE,13076.88,353,4399,0.06
PLASTERS IN TIN SKULLS,13013.15,354,7794,0.06
HANGING METAL HEART LANTERN,12985.31,355,7847,0.06
DOORMAT TOPIARY,12927.53,356,2087,0.06
SET OF 72 PINK HEART PAPER DOILIES,12913.24,357,8305,0.06
PHARMACIE FIRST AID TIN,12879.46,358,1786,0.06
PHOTO FRAME CORNICE,12864.25,359,4367,0.06
VINTAGE RED KITCHEN CABINET,12845.0,360,76,0.06
3 TIER CAKE TIN RED AND CREAM,12837.46,361,894,0.06
EDWARDIAN PARASOL PINK,12806.76,362,2519,0.06
"SET 3 RETROSPOT TEA,COFFEE,SUGAR",12764.91,363,2384,0.06
PACK OF 6 PANNETONE GIFT BOXES,12739.15,364,4989,0.06
WOODEN ADVENT CALENDAR RED,12704.15,365,1011,0.06
COFFEE MUG APPLES DESIGN,12701.63,366,5439,0.06
CERAMIC STRAWBERRY CAKE MONEY BANK,12654.71,367,8913,0.06
CHILDRENS CUTLERY RETROSPOT RED,12604.23,368,2907,0.06
DOORMAT RESPECTABLE HOUSE,12524.1,369,1950,0.06
BLACK/BLUE DOTS RUFFLED UMBRELLA,12491.17,370,2977,0.06
PACK OF 12 LONDON TISSUES,12460.16,371,39147,0.06
RED RETROSPOT SMALL MILK JUG,12456.39,372,5057,0.06
SOMBRERO,12450.85,373,9567,0.06
BOX OF VINTAGE JIGSAW BLOCKS,12432.28,374,2312,0.06
CANDLEHOLDER PINK HANGING HEART,12411.64,375,4381,0.06
CHRISTMAS CRAFT LITTLE FRIENDS,12382.47,376,5134,0.06
PINK FAIRY CAKE CHILDRENS APRON,12377.5,377,6205,0.06
CHILDRENS CUTLERY POLKADOT BLUE,12366.97,378,2847,0.06
REGENCY SUGAR BOWL GREEN,12342.43,379,3055,0.06
RED SPOT CERAMIC DRAWER KNOB,12339.32,380,9488,0.06
RETROSPOT CHILDRENS APRON,12324.05,381,6631,0.06
CIRCUS PARADE LUNCH BOX,12239.9,382,6271,0.06
ANTIQUE LILY FAIRY LIGHTS,12234.56,383,2685,0.06
RIBBON REEL STRIPES DESIGN,12192.05,384,7267,0.06
SET/20 RED SPOTTY PAPER NAPKINS,12185.39,385,15688,0.06
COFFEE MUG CAT + BIRD DESIGN,12124.78,386,5009,0.06
BLUE DINER WALL CLOCK,12104.8,387,1426,0.06
BLUE SPOT CERAMIC DRAWER KNOB,12074.4,388,8845,0.06
RED FLORAL FELTCRAFT SHOULDER BAG,12066.52,389,3237,0.06
STRAWBERRY   PICNIC BAG,12038.82,390,4100,0.06
"ASSORTED FLOWER COLOUR ""LEIS""",11961.49,391,24794,0.06
SET OF 36 TEATIME PAPER DOILIES,11864.15,392,8138,0.06
ALARM CLOCK BAKELIKE ORANGE,11864.0,393,2999,0.06
NATURAL SLATE RECTANGLE CHALKBOARD,11788.06,394,6905,0.06
GARDENERS KNEELING PAD CUP OF TEA,11785.99,395,6809,0.06
SET3 BOOK BOX GREEN GINGHAM FLOWER,11762.93,396,2883,0.06
RED/WHITE DOT MINI CASES,11748.16,397,1622,0.06
T-LIGHT GLASS FLUTED ANTIQUE,11728.69,398,9458,0.06
TEA TIME KITCHEN APRON,11721.99,399,2169,0.06
FELTCRAFT PRINCESS LOLA DOLL,11697.6,400,3125,0.06
CHRISTMAS LIGHTS 10 VINTAGE BAUBLES,11696.64,401,2381,0.06
RED SPOT HEART HOT WATER BOTTLE,11670.66,402,2425,0.06
PLACE SETTING WHITE HEART,11609.19,403,27562,0.06
AGED GLASS SILVER T-LIGHT HOLDER,11593.86,404,17770,0.06
JUMBO BAG PAISLEY PARK,11581.83,405,5020,0.06
FIRST AID TIN,11564.43,406,3512,0.06
DOORSTOP RETROSPOT HEART,11561.95,407,2880,0.06
BABUSHKA LIGHTS STRING OF 10,11542.6,408,1736,0.06
