Customer ID,TotalSales,TotalQuantity,TotalOrders,NumberOfProducts,CustomerSegment
12431.0,10432.22,4600,27,260,High Value
12432.0,5059.32,1801,5,107,High Value
12433.0,16794.14,13534,10,291,High Value
12434.0,1103.43,532,3,62,Medium Value
12435.0,13925.93,4958,6,88,High Value
12436.0,509.01,211,1,16,Low Value
12437.0,12683.4,8000,39,296,High Value
12438.0,2906.85,1180,2,85,Medium Value
12439.0,1142.88,478,2,69,Medium Value
12440.0,859.2,331,2,23,Low Value
12441.0,173.55,121,1,11,Low Value
12442.0,172.06,182,1,12,Low Value
12443.0,485.31,182,1,21,Low Value
12444.0,5005.46,1153,5,138,High Value
12445.0,434.98,206,2,24,Low Value
12446.0,1002.31,351,1,57,Medium Value
12447.0,476.49,190,1,26,Low Value
12448.0,449.45,243,1,22,Low Value
12449.0,4835.89,2282,6,126,Medium Value
12450.0,688.2,442,5,31,Low Value
12451.0,12669.88,9359,8,371,High Value
12452.0,430.57,185,2,21,Low Value
12453.0,707.09,473,1,43,Low Value
12454.0,16679.78,7703,5,24,High Value
12455.0,5879.95,3302,10,199,High Value
12456.0,3181.04,1633,3,105,Medium Value
12457.0,2995.91,1094,8,63,Medium Value
12458.0,1777.49,986,4,72,Medium Value
12459.0,454.36,258,1,23,Low Value
12460.0,326.65,170,1,18,Low Value
12461.0,826.88,287,2,35,Low Value
12462.0,1189.59,536,2,52,Medium Value
12463.0,1344.78,776,4,65,Medium Value
12464.0,1212.05,112,8,6,Medium Value
12465.0,742.19,479,2,46,Low Value
12466.0,56.73,1,1,1,Low Value
12467.0,132.8,129,1,9,Low Value
12468.0,3670.74,2201,5,129,Medium Value
12469.0,3070.54,2552,2,76,Medium Value
12470.0,211.95,95,1,23,Low Value
12471.0,39918.19,16858,79,273,High Value
12472.0,16249.29,10378,19,435,High Value
12473.0,3928.05,2414,5,140,Medium Value
12474.0,12372.75,7940,31,389,High Value
12475.0,1149.64,771,2,55,Medium Value
12476.0,14083.91,5631,23,369,High Value
12477.0,20276.37,6119,9,341,High Value
12478.0,680.99,236,1,36,Low Value
12479.0,527.2,385,1,31,Low Value
12480.0,5464.85,2952,7,179,High Value
12481.0,12185.51,7158,15,260,High Value
12482.0,23691.4,27042,29,42,High Value
12483.0,5097.18,2160,19,71,High Value
12484.0,6354.1,3266,12,337,High Value
12485.0,708.1,414,1,34,Low Value
12486.0,1037.28,523,1,49,Medium Value
12487.0,285.3,174,1,2,Low Value
12488.0,1298.66,529,3,46,Medium Value
12489.0,334.93,105,1,15,Low Value
12490.0,9823.64,5906,21,225,High Value
12491.0,460.4,260,1,25,Low Value
12492.0,715.21,444,3,38,Low Value
12493.0,433.74,207,2,20,Low Value
12494.0,1815.27,979,9,88,Medium Value
12495.0,357.4,130,1,17,Low Value
12496.0,45.34,30,2,10,Low Value
12497.0,6248.5,5685,3,43,High Value
12498.0,403.7,159,3,21,Low Value
12499.0,393.72,302,1,27,Low Value
12500.0,5955.21,3377,19,94,High Value
12501.0,2169.39,1783,1,149,Medium Value
12502.0,3723.87,820,5,102,Medium Value
12503.0,1126.0,561,1,2,Medium Value
12504.0,779.05,458,4,13,Low Value
12505.0,955.2,324,1,42,Low Value
12506.0,73.5,23,1,23,Low Value
12507.0,1844.06,1256,4,46,Medium Value
12508.0,397.88,271,2,57,Low Value
12509.0,176.5,55,1,7,Low Value
12510.0,5178.02,2049,9,99,High Value
12511.0,3084.02,1753,1,190,Medium Value
12512.0,132.18,96,2,31,Low Value
12513.0,612.29,462,1,35,Low Value
12514.0,1597.76,840,2,77,Medium Value
12515.0,383.7,131,1,16,Low Value
12516.0,2648.62,1952,4,55,Medium Value
12517.0,2481.6,1361,5,233,Medium Value
12518.0,2056.89,1318,5,84,Medium Value
12519.0,716.54,387,2,34,Low Value
12520.0,2634.26,1439,5,122,Medium Value
12521.0,599.68,309,1,38,Low Value
12522.0,192.72,194,2,11,Low Value
12523.0,4352.35,2263,23,184,Medium Value
12524.0,11126.11,7178,17,163,High Value
12525.0,973.73,509,3,56,Low Value
12526.0,1316.66,632,3,64,Medium Value
12527.0,735.51,526,5,26,Low Value
12528.0,1933.48,756,6,51,Medium Value
12529.0,316.48,192,1,21,Low Value
12530.0,3759.26,2713,9,103,Medium Value
12531.0,1933.2,1119,2,126,Medium Value
12532.0,349.83,153,1,16,Low Value
12533.0,1367.89,704,2,63,Medium Value
12534.0,1089.18,651,1,63,Medium Value
12535.0,716.35,219,2,28,Low Value
12536.0,12601.83,2803,3,260,High Value
12537.0,732.94,449,1,43,Low Value
12538.0,640.45,336,2,33,Low Value
12539.0,11214.75,4535,7,278,High Value
12540.0,22254.49,11019,33,362,High Value
12541.0,981.18,680,3,47,Low Value
12542.0,481.88,522,2,39,Low Value
12543.0,980.25,688,1,43,Low Value
12544.0,372.7,136,1,19,Low Value
12545.0,1000.39,523,2,42,Medium Value
12546.0,1161.5,633,2,59,Medium Value
12547.0,383.58,309,3,14,Low Value
12548.0,95.2,49,1,5,Low Value
12549.0,1575.68,1366,6,40,Medium Value
12550.0,964.83,569,1,57,Low Value
12551.0,168.0,100,1,10,Low Value
12552.0,437.82,88,2,20,Low Value
12553.0,4608.75,2325,12,117,Medium Value
12554.0,468.5,240,1,26,Low Value
12555.0,129.23,1,1,1,Low Value
12556.0,599.56,355,2,101,Low Value
12557.0,18096.14,6382,8,23,High Value
12558.0,269.96,196,1,11,Low Value
12559.0,561.71,283,2,21,Low Value
12560.0,2134.01,1110,3,91,Medium Value
12561.0,238.85,177,1,16,Low Value
12562.0,4966.92,2327,9,115,Medium Value
12563.0,249.24,113,1,13,Low Value
12564.0,456.9,133,1,21,Low Value
12565.0,145.92,80,1,9,Low Value
12566.0,351.65,265,1,19,Low Value
12567.0,11767.48,5308,15,377,High Value
12568.0,70.0,48,1,5,Low Value
12569.0,4124.69,1801,32,93,Medium Value
12570.0,77.52,1,1,1,Low Value
12571.0,519.61,523,2,31,Low Value
12572.0,1020.42,452,2,53,Medium Value
12573.0,717.41,479,5,107,Low Value
12574.0,218.45,61,1,11,Low Value
12575.0,622.82,315,2,34,Low Value
12576.0,2142.72,1494,8,117,Medium Value
12577.0,1617.1,1191,8,260,Medium Value
12578.0,4642.45,2380,4,151,Medium Value
12579.0,440.42,285,1,29,Low Value
12580.0,1052.9,569,2,52,Medium Value
12581.0,197.71,161,1,15,Low Value
12582.0,1980.4,985,4,100,Medium Value
12583.0,13591.58,8535,28,164,High Value
12584.0,2338.15,416,9,45,Medium Value
12585.0,2040.1,1279,2,77,Medium Value
12586.0,2062.67,687,4,84,Medium Value
12587.0,144.0,51,1,4,Low Value
12588.0,958.78,438,4,32,Low Value
12589.0,4695.66,1764,8,125,Medium Value
12590.0,9864.26,4283,2,68,High Value
12591.0,1338.95,653,3,64,Medium Value
12592.0,2582.66,1875,5,52,Medium Value
12593.0,418.1,206,3,14,Low Value
12594.0,5090.11,2768,15,82,High Value
12595.0,299.02,271,1,19,Low Value
12596.0,618.27,474,2,25,Low Value
12597.0,3811.22,2236,4,185,Medium Value
12598.0,4534.09,2906,11,136,Medium Value
12599.0,2296.72,2189,13,54,Medium Value
12600.0,4967.42,1383,21,54,Medium Value
12601.0,681.26,290,6,24,Low Value
12602.0,153.12,162,1,12,Low Value
12603.0,739.2,63,1,2,Low Value
12604.0,254.18,201,2,15,Low Value
12605.0,1232.95,929,4,63,Medium Value
12606.0,21.0,1,1,1,Low Value
12607.0,1579.51,1228,1,101,Medium Value
12608.0,415.79,323,1,16,Low Value
12609.0,3435.86,1553,9,133,Medium Value
12610.0,2099.54,1049,5,85,Medium Value
12611.0,1193.32,846,1,65,Medium Value
12612.0,704.04,262,1,19,Low Value
12613.0,6817.37,4157,10,232,High Value
12614.0,315.6,76,1,20,Low Value
12615.0,5740.98,3317,8,205,High Value
12616.0,1131.1,498,3,32,Medium Value
12617.0,352.98,210,1,39,Low Value
12618.0,177.31,96,1,11,Low Value
12619.0,3781.38,3518,10,57,Medium Value
12620.0,1339.41,1181,3,89,Medium Value
12621.0,24311.2,13706,35,355,High Value
12622.0,180.1,69,1,11,Low Value
12623.0,3747.84,1971,7,122,Medium Value
12624.0,641.13,355,2,36,Low Value
12625.0,5164.88,3309,4,151,High Value
12626.0,6620.48,3453,9,233,High Value
12627.0,4478.53,2752,7,162,Medium Value
12628.0,786.46,448,3,34,Low Value
12629.0,1558.22,722,2,40,Medium Value
12630.0,1270.88,548,2,60,Medium Value
12631.0,3481.57,1607,6,137,Medium Value
12632.0,804.88,694,2,32,Low Value
12633.0,5678.16,3238,7,229,High Value
12634.0,490.0,337,2,20,Low Value
12635.0,2930.41,1949,4,160,Medium Value
12636.0,141.0,1,1,1,Low Value
12637.0,8283.81,4257,12,309,High Value
12638.0,921.49,663,2,47,Low Value
12639.0,1312.37,631,3,61,Medium Value
12640.0,1174.58,311,3,47,Medium Value
12641.0,185.9,72,1,10,Low Value
12642.0,1013.26,552,3,39,Medium Value
12643.0,8304.82,4665,12,17,High Value
12644.0,1918.49,1032,4,109,Medium Value
12645.0,3539.3,2125,8,114,Medium Value
12646.0,1346.97,897,2,43,Medium Value
12647.0,16955.55,6633,36,274,High Value
12648.0,1112.0,518,4,48,Medium Value
12649.0,2294.65,1959,8,97,Medium Value
12650.0,314.44,254,1,20,Low Value
12651.0,377.75,265,4,30,Low Value
12652.0,1017.03,536,2,51,Medium Value
12653.0,4160.83,1681,3,77,Medium Value
12654.0,601.98,264,5,31,Low Value
12655.0,261.35,80,1,16,Low Value
12656.0,6407.83,2860,8,179,High Value
12657.0,1643.18,1044,4,35,Medium Value
12658.0,686.05,320,1,36,Low Value
12659.0,91.68,105,1,5,Low Value
12660.0,245.1,127,1,13,Low Value
12661.0,162.0,216,1,11,Low Value
12662.0,6726.54,3424,20,183,High Value
12663.0,239.4,181,2,9,Low Value
12664.0,6070.04,1495,11,16,High Value
12665.0,313.6,165,3,13,Low Value
12666.0,1248.42,370,1,31,Medium Value
12667.0,620.13,395,1,33,Low Value
12668.0,11383.03,5049,10,296,High Value
12669.0,2744.03,1115,3,97,Medium Value
12670.0,3760.29,1627,7,72,Medium Value
12671.0,2622.48,1460,1,45,Medium Value
12672.0,437.05,138,2,22,Low Value
12673.0,1230.02,700,3,68,Medium Value
12674.0,1970.6,1133,4,52,Medium Value
12675.0,957.25,336,2,110,Low Value
12676.0,2843.09,1867,11,70,Medium Value
12677.0,395.1,176,2,14,Low Value
12678.0,34281.18,22372,21,217,High Value
12679.0,1113.02,554,4,43,Medium Value
12680.0,880.81,444,4,33,Low Value
12681.0,29834.76,17011,45,505,High Value
12682.0,22950.22,10522,52,371,High Value
12683.0,11633.7,7019,21,261,High Value
12684.0,2283.63,1985,7,61,Medium Value
12685.0,2863.08,1523,6,117,Medium Value
12686.0,89.14,107,1,7,Low Value
12687.0,2138.91,1403,2,126,Medium Value
12688.0,4873.81,3028,1,170,Medium Value
12689.0,1247.61,628,2,57,Medium Value
12690.0,389.01,106,1,16,Low Value
12691.0,1170.4,445,7,24,Medium Value
12692.0,110.95,36,1,13,Low Value
12693.0,1703.02,536,7,65,Medium Value
12694.0,1843.35,1355,3,69,Medium Value
12695.0,1407.12,454,7,48,Medium Value
12696.0,851.91,564,2,43,Low Value
12697.0,957.59,508,3,37,Low Value
12698.0,339.75,111,1,16,Low Value
12699.0,638.11,373,1,41,Low Value
12700.0,4939.99,2967,4,194,Medium Value
12701.0,2446.41,1727,6,120,Medium Value
12702.0,219.0,53,1,12,Low Value
12703.0,1006.53,595,4,63,Medium Value
12704.0,2340.84,1006,8,64,Medium Value
12705.0,11762.1,7188,14,342,High Value
12707.0,603.42,256,1,33,Low Value
12708.0,5117.66,2432,18,146,High Value
12709.0,30291.76,13772,34,223,High Value
12710.0,1149.02,851,3,75,Medium Value
12711.0,1339.05,770,2,56,Medium Value
12712.0,6723.03,2205,21,128,High Value
12713.0,848.55,508,1,38,Low Value
12714.0,14093.71,8774,12,481,High Value
12715.0,343.36,192,1,20,Low Value
12716.0,1053.49,708,2,60,Medium Value
12717.0,1308.91,600,3,62,Medium Value
12718.0,238.25,203,1,19,Low Value
12719.0,644.95,374,2,34,Low Value
12720.0,7787.28,6018,30,296,High Value
12721.0,4013.08,2655,8,187,Medium Value
12722.0,997.63,566,4,50,Low Value
12723.0,725.07,434,5,53,Low Value
12724.0,2317.52,1379,7,98,Medium Value
12725.0,2266.76,1142,4,97,Medium Value
12726.0,4014.6,4618,11,67,Medium Value
12727.0,5679.53,2832,10,134,High Value
12728.0,1070.17,543,5,48,Medium Value
12729.0,453.01,233,1,26,Low Value
12730.0,829.25,234,1,47,Low Value
12731.0,25775.71,11641,17,151,High Value
12732.0,236.26,111,1,12,Low Value
12733.0,2424.87,896,4,121,Medium Value
12734.0,639.65,265,3,17,Low Value
12735.0,779.57,368,2,38,Low Value
12736.0,234.0,173,1,4,Low Value
12737.0,3710.5,2,2,2,Medium Value
12738.0,155.35,148,1,11,Low Value
12739.0,2726.73,951,4,85,Medium Value
12740.0,427.6,342,1,27,Low Value
12741.0,406.07,214,2,16,Low Value
12742.0,1201.52,1359,1,67,Medium Value
12743.0,540.13,315,2,114,Low Value
12744.0,25317.06,6994,11,253,High Value
12745.0,925.41,468,3,21,Low Value
12746.0,254.55,97,1,17,Low Value
12747.0,8898.48,2640,26,90,High Value
12748.0,53539.64,37109,336,2376,High Value
12749.0,6897.36,2360,9,262,High Value
12750.0,275.88,137,1,15,Low Value
12751.0,268.27,189,1,60,Low Value
12752.0,4366.78,2262,1,53,Medium Value
12753.0,21429.39,11421,6,133,High Value
12754.0,3010.74,6481,3,49,Medium Value
12755.0,5236.26,2293,11,34,High Value
12756.0,112.08,144,1,4,Low Value
12757.0,7834.65,2395,13,239,High Value
12758.0,9903.24,6155,7,204,High Value
12759.0,5020.74,3202,8,214,High Value
12760.0,347.8,198,1,21,Low Value
12761.0,782.95,281,2,27,Low Value
12762.0,1898.52,1227,2,62,Medium Value
12763.0,494.08,316,2,16,Low Value
12764.0,1693.88,386,1,45,Medium Value
12765.0,1404.58,1009,6,49,Medium Value
12766.0,8918.99,5022,9,255,High Value
12767.0,949.82,598,1,43,Low Value
12768.0,168.69,102,1,10,Low Value
12769.0,1143.6,356,1,32,Medium Value
12770.0,3246.45,1843,2,20,Medium Value
12771.0,282.3,104,1,15,Low Value
12772.0,892.47,556,1,55,Low Value
12773.0,124.25,109,1,6,Low Value
12774.0,98.7,53,1,6,Low Value
12775.0,1686.12,1083,7,56,Medium Value
12776.0,55.5,46,1,4,Low Value
12777.0,519.45,458,1,26,Low Value
12778.0,1775.68,1735,9,78,Medium Value
12779.0,6474.11,3501,14,146,High Value
12780.0,337.4,285,1,20,Low Value
12781.0,826.74,671,2,25,Low Value
12782.0,4618.24,2017,11,149,Medium Value
12783.0,2225.91,624,6,76,Medium Value
12784.0,1763.15,862,3,122,Medium Value
12785.0,1100.4,453,3,43,Medium Value
12786.0,728.5,324,1,18,Low Value
12787.0,862.18,510,4,31,Low Value
12788.0,444.9,194,4,20,Low Value
12789.0,273.35,36,3,5,Low Value
12790.0,591.85,306,2,36,Low Value
12791.0,863.51,353,6,17,Low Value
12792.0,827.01,394,2,39,Low Value
12793.0,885.53,461,3,34,Low Value
12794.0,860.41,592,2,43,Low Value
12795.0,430.48,68,1,14,Low Value
12796.0,381.0,182,1,7,Low Value
12797.0,552.08,215,2,27,Low Value
12798.0,8510.93,8455,4,27,High Value
12799.0,219.35,137,1,15,Low Value
12800.0,584.25,284,3,31,Low Value
12801.0,1071.82,505,1,50,Medium Value
12802.0,2416.42,1972,7,108,Medium Value
12803.0,1092.81,872,1,55,Medium Value
12804.0,325.37,270,2,60,Low Value
12805.0,1434.95,593,4,49,Medium Value
12806.0,2878.96,2087,4,58,Medium Value
12807.0,330.35,145,1,16,Low Value
12808.0,776.7,322,5,46,Low Value
12809.0,1755.94,518,3,76,Medium Value
12810.0,534.99,389,2,32,Low Value
12811.0,1033.9,435,5,47,Medium Value
12812.0,229.64,164,1,15,Low Value
12813.0,1687.8,1141,3,37,Medium Value
12814.0,125.92,49,1,2,Low Value
12815.0,1063.46,379,2,38,Medium Value
12816.0,572.2,128,2,27,Low Value
12817.0,690.98,219,3,16,Low Value
12818.0,1542.08,929,1,14,Medium Value
12819.0,540.52,344,1,19,Low Value
12820.0,2689.52,1964,11,132,Medium Value
12821.0,220.8,162,2,13,Low Value
12822.0,948.88,550,2,41,Low Value
12823.0,6501.5,930,18,2,High Value
12824.0,397.12,232,1,25,Low Value
12825.0,518.63,139,2,20,Low Value
12826.0,2800.75,1915,12,98,Medium Value
12827.0,430.15,197,3,19,Low Value
12828.0,1018.71,494,6,46,Medium Value
12829.0,385.3,550,3,17,Low Value
12830.0,6814.64,9848,6,13,High Value
12831.0,451.11,303,3,16,Low Value
12832.0,383.03,195,2,27,Low Value
12833.0,417.38,156,1,24,Low Value
12834.0,312.38,110,1,18,Low Value
12835.0,5996.83,2349,41,159,High Value
12836.0,6559.73,2231,15,287,High Value
12837.0,662.66,194,2,85,Low Value
12838.0,2975.91,1606,10,231,Medium Value
12839.0,9669.12,6578,26,164,High Value
12840.0,4041.97,2258,7,116,Medium Value
12841.0,6958.2,5008,40,310,High Value
12842.0,1917.99,887,4,45,Medium Value
12843.0,6583.36,3028,30,139,High Value
12844.0,648.6,223,4,92,Low Value
12845.0,354.09,204,4,26,Low Value
12846.0,15.58,1,1,1,Low Value
12847.0,1609.0,1497,2,100,Medium Value
12848.0,208.0,58,1,16,Low Value
12849.0,3042.47,1855,6,123,Medium Value
12850.0,330.0,200,1,2,Low Value
12851.0,280.76,157,2,71,Low Value
12852.0,311.55,149,1,17,Low Value
12853.0,3907.5,1668,11,117,Medium Value
12854.0,2970.97,1630,7,188,Medium Value
12855.0,612.84,240,4,65,Low Value
12856.0,2170.78,1076,6,155,Medium Value
12857.0,3688.0,1420,6,76,Medium Value
12858.0,147.27,51,1,36,Low Value
12859.0,575.1,292,1,21,Low Value
12860.0,54.22,26,1,16,Low Value
12861.0,68.25,27,1,4,Low Value
12862.0,984.62,611,2,119,Low Value
12863.0,2792.55,895,6,25,Medium Value
12864.0,299.57,447,2,5,Low Value
12865.0,3323.47,1973,4,160,Medium Value
12866.0,1227.35,553,3,58,Medium Value
12867.0,7829.26,7876,13,390,High Value
12868.0,2043.76,1170,8,86,Medium Value
12869.0,337.67,144,1,35,Low Value
12870.0,1676.95,906,3,85,Medium Value
12871.0,744.02,484,3,13,Low Value
12872.0,3283.96,1642,12,218,Medium Value
12873.0,2027.3,786,3,33,Medium Value
12874.0,948.42,623,2,44,Low Value
12875.0,1356.99,5187,5,2,Medium Value
12876.0,4081.79,3047,4,121,Medium Value
12877.0,2942.14,2237,20,153,Medium Value
12878.0,854.99,547,2,38,Low Value
12879.0,573.22,370,3,7,Low Value
12880.0,640.13,279,2,34,Low Value
12881.0,298.0,21,1,7,Low Value
12882.0,1463.04,246,2,12,Medium Value
12883.0,703.47,196,4,39,Low Value
12884.0,309.05,43,1,7,Low Value
12885.0,1175.22,655,3,66,Medium Value
12886.0,1378.4,770,2,75,Medium Value
12887.0,222.4,100,1,13,Low Value
12888.0,354.12,76,2,4,Low Value
12889.0,385.46,124,4,25,Low Value
12890.0,706.02,457,2,124,Low Value
12891.0,840.5,2325,11,4,Low Value
12892.0,263.38,140,1,18,Low Value
12893.0,176.55,90,1,27,Low Value
12894.0,157.35,33,1,21,Low Value
12895.0,372.8,210,2,22,Low Value
12897.0,514.25,249,4,10,Low Value
12898.0,296.21,235,2,27,Low Value
12899.0,366.4,108,1,17,Low Value
12900.0,340.33,139,1,13,Low Value
12901.0,17654.54,23075,28,30,High Value
12902.0,138.68,66,1,10,Low Value
12903.0,833.53,493,1,41,Low Value
12904.0,496.06,294,2,59,Low Value
12905.0,1018.42,532,2,52,Medium Value
12906.0,2919.81,1749,5,55,Medium Value
12907.0,508.91,177,2,23,Low Value
12908.0,1776.0,3000,5,1,Medium Value
12909.0,3103.19,1948,8,132,Medium Value
12910.0,5796.52,3632,13,77,High Value
12911.0,1651.72,807,1,220,Medium Value
12912.0,1662.3,670,5,17,Medium Value
12913.0,6283.24,3086,13,54,High Value
12914.0,223.98,336,1,9,Low Value
12915.0,975.1,411,4,48,Low Value
12916.0,4479.73,1681,7,84,Medium Value
12917.0,4359.2,1104,6,45,Medium Value
12918.0,10953.5,1,1,1,High Value
12919.0,1335.19,673,6,34,Medium Value
12920.0,486.64,420,4,59,Low Value
12921.0,35233.24,21328,74,377,High Value
12922.0,405.38,370,1,28,Low Value
12923.0,770.42,230,3,54,Low Value
12924.0,2469.4,1423,12,57,Medium Value
12925.0,729.33,649,3,46,Low Value
12926.0,1523.97,754,4,205,Medium Value
12927.0,197.31,145,1,11,Low Value
12928.0,4304.89,2899,12,99,Medium Value
12929.0,117.85,37,1,8,Low Value
12930.0,415.8,252,2,20,Low Value
12931.0,92347.34,62906,57,41,High Value
12932.0,1698.56,1609,8,69,Medium Value
12933.0,1636.63,949,8,227,Medium Value
12934.0,181.65,31,1,2,Low Value
12935.0,4243.86,3201,15,122,Medium Value
12936.0,1063.9,559,4,56,Medium Value
12937.0,3097.61,1983,9,133,Medium Value
12938.0,114.14,140,1,9,Low Value
12939.0,25264.8,10328,20,28,High Value
12940.0,899.69,404,2,87,Low Value
12941.0,377.49,381,1,27,Low Value
12942.0,675.6,198,3,68,Low Value
12943.0,496.5,222,2,22,Low Value
12944.0,604.51,289,2,29,Low Value
12945.0,900.11,446,2,48,Low Value
12946.0,324.45,149,1,20,Low Value
12947.0,1603.99,1165,6,83,Medium Value
12948.0,2317.43,1304,9,89,Medium Value
12949.0,15526.7,8233,22,353,High Value
12950.0,1843.0,1380,3,13,Medium Value
12951.0,3213.72,1662,15,115,Medium Value
12952.0,1387.79,653,4,64,Medium Value
12953.0,828.81,364,2,47,Low Value
12954.0,162.45,83,1,10,Low Value
12955.0,4757.16,3664,11,82,Medium Value
12956.0,521.89,340,4,42,Low Value
12957.0,8706.97,4686,13,411,High Value
12958.0,467.34,118,2,45,Low Value
12959.0,150.95,109,1,8,Low Value
12960.0,1322.07,1379,4,52,Medium Value
12961.0,211.99,180,1,37,Low Value
12962.0,266.39,129,2,15,Low Value
12963.0,3235.79,1637,12,131,Medium Value
12964.0,132.24,56,1,26,Low Value
12965.0,769.81,282,1,107,Low Value
12966.0,160.18,75,1,10,Low Value
12967.0,2938.52,912,3,47,Medium Value
12968.0,135.95,73,1,5,Low Value
12969.0,122.45,55,1,5,Low Value
12970.0,1453.6,954,10,286,Medium Value
12971.0,15704.6,14306,116,106,High Value
12972.0,1161.2,844,4,69,Medium Value
12973.0,385.55,31,1,6,Low Value
12974.0,408.95,104,2,30,Low Value
12975.0,2100.09,911,6,99,Medium Value
12976.0,3156.38,2684,8,119,Medium Value
12977.0,513.88,128,4,54,Low Value
12978.0,2502.82,1394,5,127,Medium Value
12979.0,517.7,520,1,56,Low Value
12980.0,16245.78,1910,21,7,High Value
12981.0,372.22,242,2,14,Low Value
12982.0,2744.81,1729,8,140,Medium Value
12983.0,490.08,638,1,30,Low Value
12984.0,97.5,26,1,4,Low Value
12985.0,1239.38,1533,2,73,Medium Value
12986.0,2729.84,1164,10,62,Medium Value
12987.0,1312.21,585,5,62,Medium Value
12988.0,505.82,126,1,75,Low Value
12989.0,13551.75,6935,33,51,High Value
12990.0,955.5,480,7,10,Low Value
12991.0,764.82,483,3,45,Low Value
12992.0,93.35,21,1,6,Low Value
12993.0,1259.63,751,8,63,Medium Value
12994.0,974.42,459,3,52,Low Value
12995.0,211.32,108,1,3,Low Value
12996.0,355.5,122,1,22,Low Value
12997.0,2110.91,1186,8,67,Medium Value
12998.0,920.08,1124,3,58,Low Value
12999.0,455.88,342,3,25,Low Value
13000.0,1032.5,548,4,59,Medium Value
13001.0,24042.65,13448,33,337,High Value
13002.0,414.13,201,3,19,Low Value
13003.0,149.05,103,3,4,Low Value
13004.0,11650.85,8768,36,440,High Value
13005.0,999.68,462,4,42,Low Value
13006.0,81.57,55,1,4,Low Value
